suite,region_number,group,model,match_plural,match_sing,mismatch_plural,mismatch_sing
SVNA-src,7,2008,grnn,6.025633,4.959454,8.61152,9.702975
SVNA-src,7,2008,human,790.5,1107.8,604,1714.2222222222222
SVNA-src,7,2008,jrnn,6.160922,6.449649,7.823997,9.736446
SVNA-src,7,2008,llama,4.47889107541071,5.47664802760795,7.71228592979329,8.39177327019078
SVNA-src,7,2008,rnng,2.6503833333333335,2.5575233333333336,6.541250000000001,6.330996666666667
SVNA-src,7,2009,gpt2,3.936295,3.846309,9.10316,9.654094
SVNA-src,7,2009,grnn,5.014249,5.722078,8.68858,8.604192
SVNA-src,7,2009,human,815.8,617,1531,724
SVNA-src,7,2009,jrnn,6.282401,6.015662,9.152002,9.641499
SVNA-src,7,2009,llama,3.40376428300196,3.64909736246429,7.77862056806424,7.6167314352392
SVNA-src,7,2009,rnng,3.24182,2.9680500000000003,7.2983,6.379136666666668
SVNA-src,7,2010,gpt2,6.283745,7.098754,10.440871,8.261202
SVNA-src,7,2010,grnn,6.592302,4.932241,9.397443,8.187837
SVNA-src,7,2010,human,999,717.5714285714286,622,966
SVNA-src,7,2010,jrnn,8.227106,7.663377,8.53353,10.599684
SVNA-src,7,2010,llama,7.09628379563178,6.78499483503969,9.86042070130098,9.57913101971167
SVNA-src,7,2010,rnng,4.025346666666667,4.367426666666667,7.90014,8.585123333333334
SVNA-src,7,2011,gpt2,5.591648,5.497156,10.399039,10.587975
SVNA-src,7,2011,grnn,7.521286,7.561566,10.580346,8.63945
SVNA-src,7,2011,human,717,693.25,848.4444444444445,701
SVNA-src,7,2011,jrnn,6.611074,6.80609,8.051394,11.092685
SVNA-src,7,2011,llama,5.69938057564916,5.0090328867024,10.2349043415735,9.86334769747661
SVNA-src,7,2011,rnng,3.39724,2.69873,7.571563333333334,6.3357600000000005
SVNA-src,7,2012,gpt2,5.319961,5.924859,7.328796,10.212383
SVNA-src,7,2012,grnn,4.54408,5.146077,7.51795,8.875113
SVNA-src,7,2012,human,644.5,914,881.5,1012.25
SVNA-src,7,2012,jrnn,8.278886,7.655874,7.444477,8.908911
SVNA-src,7,2012,llama,5.98492819070565,5.5819200273262,9.09695841531617,8.6863761044444
SVNA-src,7,2012,rnng,3.2713366666666666,2.984033333333334,7.481706666666667,6.78854
SVNA-src,7,2013,gpt2,4.720389,5.658417,9.271209,9.736316
SVNA-src,7,2013,grnn,5.189437,4.779569,10.059185,9.561303
SVNA-src,7,2013,human,872.4166666666666,528,836.5,1061
SVNA-src,7,2013,jrnn,7.462576,6.650161,9.080928,10.669949
SVNA-src,7,2013,llama,7.4959849437956,6.60953134633492,11.0395945384178,11.092127007149
SVNA-src,7,2013,rnng,2.83215,2.92137,7.162913333333333,6.705016666666666
SVNA-src,7,2014,gpt2,14.157562,14.875416,17.061521,16.764727
SVNA-src,7,2014,grnn,15.692854,14.934114,17.43453,16.449146
SVNA-src,7,2014,human,1474,944,1152,1053
SVNA-src,7,2014,jrnn,15.452554,16.146503,17.609287,17.752081
SVNA-src,7,2014,llama,16.3636446585493,15.4508161586989,19.8708125889215,17.6640526610977
SVNA-src,7,2014,rnng,8.482053333333333,8.337296666666667,10.582133333333333,11.0495
SVNA-src,7,2015,gpt2,16.020857,14.2379,15.775194,16.225425
SVNA-src,7,2015,grnn,14.172306,17.000093,15.763645,17.399252
SVNA-src,7,2015,human,1337.6666666666667,2317,1336.9375,1780
SVNA-src,7,2015,jrnn,14.615971,14.153323,13.63415,16.084486
SVNA-src,7,2015,llama,15.9841048506145,11.1581613878501,15.8920087580545,12.9527652325835
SVNA-src,7,2015,rnng,10.31461,14.511066666666665,13.7891,12.907366666666666
SVNA-src,7,2016,gpt2,12.367292,13.5726,17.263464,15.285371
SVNA-src,7,2016,grnn,13.500782,15.831278,16.874554,16.700132
SVNA-src,7,2016,human,639.5,886.6666666666666,1410,1074.9375
SVNA-src,7,2016,jrnn,11.675707,14.380029,13.061384,15.098858
SVNA-src,7,2016,llama,11.8874811105723,12.8241182156527,16.9334714222824,14.1161468869473
SVNA-src,7,2016,rnng,7.5598133333333335,7.754516666666667,11.435226666666665,10.43876
SVNA-src,7,2017,gpt2,11.377872,15.071866,18.603575,10.637279
SVNA-src,7,2017,grnn,14.947536,17.305182,17.901884,11.780005
SVNA-src,7,2017,human,787.3333333333334,1053,1291.6,1095.6666666666667
SVNA-src,7,2017,jrnn,11.459575,15.506454,15.378908,9.719234
SVNA-src,7,2017,llama,10.5239218101363,15.7914464133294,16.2919325779082,10.5724734605799
SVNA-src,7,2017,rnng,7.45007,8.838750000000001,11.2044,8.482593333333334
SVNA-src,7,2018,gpt2,16.934528,17.276319,20.252114,19.588019
SVNA-src,7,2018,grnn,19.479462,24.520901,19.285711,21.267452
SVNA-src,7,2018,human,950.3333333333334,738,731,1122.2727272727273
SVNA-src,7,2018,jrnn,17.693485,17.9543,19.379549,18.896578
SVNA-src,7,2018,llama,15.574180069001,15.7958082053501,18.0995405570456,17.7043170917592
SVNA-src,7,2018,rnng,9.360353333333334,10.598233333333333,13.9338,13.4351
SVNA-src,7,2019,gpt2,7.087995,5.99013,8.235045,8.887286
SVNA-src,7,2019,grnn,5.453936,5.6766,8.108155,8.257001
SVNA-src,7,2019,human,872.6666666666666,836,736,965
SVNA-src,7,2019,jrnn,6.811647,6.656835,7.55094,9.228867
SVNA-src,7,2019,llama,8.70001423131888,6.70426889404943,9.91510793793618,8.16431761581757
SVNA-src,7,2019,rnng,3.0975533333333334,3.6997500000000003,7.5059933333333335,7.46536
